work_id,year,citation_count
W4280525177,2024,22
W4280541407,2022,1
W4280541407,2023,6
W4280541407,2024,11
W4280582114,2022,1
W4280582114,2023,7
W4280582114,2024,2
W4280590401,2022,1
W4280590401,2023,4
W4280590401,2024,6
W4280649903,2022,5
W4280649903,2023,23
W4280649903,2024,28
W4281262808,2023,9
W4281262808,2024,18
W4281286562,2023,4
W4281286562,2024,1
W4281399117,2022,1
W4281399117,2023,5
W4281399117,2024,17
W4281663336,2022,4
W4281663336,2023,27
W4281663336,2024,25
W4281703385,2023,16
W4281703385,2024,7
W4281912025,2022,2
W4281912025,2023,14
W4281912025,2024,13
W4281930622,2022,2
W4281930622,2023,10
W4281930622,2024,19
W4281962665,2022,5
W4281962665,2023,26
W4281962665,2024,17
W4283069536,2023,4
W4283069536,2024,4
W4283157120,2022,4
W4283157120,2023,14
W4283157120,2024,6
W4283203948,2022,2
W4283203948,2023,24
W4283203948,2024,25
W4283213885,2022,5
W4283213885,2023,19
W4283213885,2024,22
W4283275666,2023,34
W4283275666,2024,56
W4283461979,2022,8
W4283461979,2023,81
W4283461979,2024,94
W4283578180,2022,1
W4283578180,2023,2
W4283578180,2024,5
W4283585133,2022,5
W4283585133,2023,10
W4283585133,2024,9
W4283645714,2022,1
W4283645714,2023,5
W4283645714,2024,4
W4283763275,2022,2
W4283763275,2023,14
W4283763275,2024,22
W4283764803,2022,2
W4283764803,2023,19
W4283764803,2024,26
W4283803271,2023,7
W4283803271,2024,5
W4283814693,2022,1
W4283814693,2023,7
W4283814693,2024,14
W4283817886,2023,1
W4283817886,2024,2
W4285091076,2023,10
W4285091076,2024,7
W4285676605,2022,1
W4285676605,2023,12
W4285676605,2024,10
W4285796263,2021,6
W4285796263,2022,18
W4285796263,2023,45
W4285796263,2024,64
W4285796576,2023,5
W4285796576,2024,7
W4286906772,2022,2
W4286906772,2023,15
W4286906772,2024,17
W4287307793,2022,2
W4287307793,2023,3
W4287307793,2024,6
W4287577628,2023,5
W4287577628,2024,3
W4287992808,2021,1
W4287992808,2024,4
W4288690437,2023,1
W4288690437,2024,1
W4289638136,2022,1
W4289638136,2023,2
W4289638136,2024,3
W4289860834,2023,14
W4289860834,2024,21
W4289868942,2023,5
W4289868942,2024,6
W4290992098,2022,1
W4290992098,2023,15
W4290992098,2024,27
W4291993480,2023,17
W4291993480,2024,34
W4292059111,2022,1
W4292059111,2023,15
W4292059111,2024,32
W4292197747,2022,18
W4292197747,2023,17
W4292197747,2024,27
W4292289323,2022,1
W4292289323,2023,18
W4292289323,2024,10
W4292289324,2022,4
W4292289324,2023,68
W4292289324,2024,169
W4292372012,2023,2
W4292372012,2024,11
W4293213129,2021,1
W4293213129,2022,1
W4293213129,2023,19
W4293213129,2024,14
W4293248357,2023,6
W4293248357,2024,3
W4293288724,2023,8
W4293288724,2024,2
W4293317991,2023,7
W4293317991,2024,11
W4293795081,2022,2
W4293795081,2023,23
W4293795081,2024,35
W4294566414,2022,1
W4294566414,2023,20
W4294566414,2024,14
W4294653840,2023,3
W4294653840,2024,4
W4294740730,2022,3
W4294740730,2023,16
W4294740730,2024,32
W4294817101,2023,1
W4294817101,2024,1
W4294930473,2023,9
W4294930473,2024,12
W4295008492,2023,19
W4295008492,2024,25
W4295120388,2023,4
W4295120388,2024,8
W4295457756,2023,3
W4295457756,2024,6
W4295926801,2023,16
W4295926801,2024,27
W4296020838,2023,2
W4296020838,2024,5
W4296045111,2023,23
W4296045111,2024,36
W4296077725,2022,1
W4296077725,2023,3
W4296077725,2024,3
W4296139711,2022,1
W4296139711,2023,31
W4296139711,2024,15
W4296186746,2023,2
W4296297582,2023,2
W4296297582,2024,2
W4296461299,2023,1
W4296461299,2024,3
W4296636191,2023,1
W4296636191,2024,1
W4296929390,2024,3
W4296935237,2023,1
W4296935237,2024,1
W4297051238,2023,6
W4297051238,2024,14
W4297227993,2022,3
W4297227993,2023,40
W4297227993,2024,37
W4297491563,2023,6
W4297491563,2024,14
W4297548914,2023,2
W4297548914,2024,6
W4297826536,2022,2
W4297826536,2023,3
W4297826536,2024,8
W4297903184,2023,2
W4297903184,2024,8
W4298000417,2023,1
W4298000417,2024,5
W4298124436,2023,10
W4298124436,2024,11
W4300717046,2024,1
W4302288256,2023,1
W4302288256,2024,5
W4302775088,2023,4
W4302775088,2024,7
W4303415883,2023,4
W4303415883,2024,5
W4303579230,2022,1
W4303579230,2023,13
W4303579230,2024,12
W4303710087,2022,2
W4303710087,2023,30
W4303710087,2024,57
W4303984810,2023,9
W4303984810,2024,21
W4304098281,2022,1
W4304098281,2023,52
W4304098281,2024,97
W4304175779,2023,1
W4304175779,2024,1
W4304187656,2023,12
W4304187656,2024,19
W4304698333,2022,1
W4304698333,2023,13
W4304698333,2024,13
W4306292106,2021,1
W4306292106,2022,3
W4306292106,2023,57
W4306292106,2024,109
W4306786778,2022,3
W4306786778,2023,20
W4306786778,2024,24
W4307129239,2023,2
W4307129239,2024,4
W4307243336,2023,5
W4307243336,2024,7
W4307321238,2022,1
W4307321238,2023,14
W4307321238,2024,19
W4307572272,2023,26
W4307572272,2024,40
W4307819182,2023,6
W4307819182,2024,8
W4307910037,2023,3
W4307910037,2024,6
W4307911024,2022,1
W4307911024,2023,16
W4307911024,2024,34
W4307913127,2023,5
W4307913127,2024,6
W4308112317,2022,1
W4308112317,2023,59
W4308112317,2024,51
W4308112567,2022,6
W4308112567,2023,22
W4308112567,2024,68
W4308160155,2023,6
W4308160155,2024,6
W4308381112,2023,7
W4308381112,2024,5
W4308750008,2023,7
W4308750008,2024,16
W4308840623,2023,9
W4308840623,2024,18
W4308840632,2023,3
W4308840632,2024,6
W4308861918,2023,3
W4308861918,2024,8
W4309198707,2022,2
W4309198707,2023,13
W4309198707,2024,32
W4309349667,2023,7
W4309349667,2024,19
W4309490745,2023,30
W4309490745,2024,80
W4309582920,2023,1
W4309582920,2024,1
W4309643846,2023,3
W4309643846,2024,14
W4309648563,2023,17
W4309648563,2024,25
W4309782696,2023,5
W4309782696,2024,11
W4309796907,2023,10
W4309796907,2024,22
W4309796916,2023,2
W4309796916,2024,5
W4309822222,2023,3
W4309822222,2024,4
W4309867695,2023,9
W4309867695,2024,8
W4309889602,2023,2
W4309889602,2024,5
W4309913730,2023,8
W4309913730,2024,14
W4309925307,2023,3
W4309925307,2024,1
W4309928656,2023,12
W4309928656,2024,5
W4309937154,2023,3
W4309937154,2024,8
W4310193546,2024,2
W4310193697,2023,16
W4310193697,2024,6
W4310193754,2023,2
W4310193754,2024,5
W4310195170,2023,4
W4310195170,2024,1
W4310225030,2023,22
W4310225030,2024,48
W4310276548,2023,1
W4310276548,2024,4
W4310787317,2023,2
W4310787317,2024,4
W4311031268,2023,1
W4311031268,2024,3
W4311035550,2023,2
W4311035550,2024,4
W4311035665,2023,1
W4311165753,2022,1
W4311165753,2023,18
W4311165753,2024,21
W4311183537,2021,1
W4311183537,2023,8
W4311183537,2024,6
W4311273559,2023,9
W4311273559,2024,13
W4311305999,2023,5
W4311305999,2024,7
W4311362391,2023,9
W4311362391,2024,6
W4311375214,2023,7
W4311375214,2024,3
W4311464455,2023,12
W4311464455,2024,10
W4311464757,2023,1
W4311464757,2024,1
W4311599520,2024,1
W4311607213,2023,2
W4311607213,2024,7
W4311625992,2024,1
W4311629995,2023,7
W4311629995,2024,13
W4311710860,2023,8
W4311710860,2024,4
W4311954044,2023,5
W4311954044,2024,6
W4312059150,2023,1
W4312059150,2024,1
W4312105932,2023,4
W4312105932,2024,7
W4312106224,2023,7
W4312106224,2024,3
W4312106240,2023,5
W4312106240,2024,16
W4312106306,2022,3
W4312106306,2023,17
W4312106306,2024,17
W4312106615,2023,5
W4312106615,2024,19
W4312106726,2023,2
W4312106726,2024,10
W4312106785,2023,1
W4312106785,2024,9
W4312208348,2023,6
W4312208348,2024,8
W4312208408,2023,2
W4312208408,2024,3
W4312214845,2023,7
W4312214845,2024,15
W4312214853,2023,6
W4312214853,2024,9
W4312222425,2023,2
W4312222425,2024,6
W4312222562,2023,2
W4312222562,2024,2
W4312222690,2023,20
W4312222690,2024,46
W4313276113,2023,1
W4313276113,2024,1
W4313321559,2023,7
W4313321559,2024,31
W4313321714,2023,2
W4313321714,2024,5
W4313421060,2023,5
W4313421060,2024,2
W4313597114,2023,8
W4313597114,2024,7
W4313625318,2023,2
W4313625318,2024,3
W4313642897,2023,18
W4313642897,2024,12
W4313644131,2023,4
W4313644131,2024,9
W4313648835,2023,29
W4313648835,2024,31
W4313650011,2023,4
W4313650011,2024,1
W4315490060,2023,7
W4315490060,2024,4
W4316036513,2021,4
W4316036513,2022,9
W4316036513,2023,25
W4316036513,2024,49
W4316810864,2023,1
W4316810864,2024,1
W4316814312,2023,3
W4316814312,2024,4
W4317042600,2023,3
W4317042600,2024,3
W4317207462,2023,2
W4317207462,2024,1
W4317207836,2023,11
W4317207836,2024,11
W4317208968,2023,3
W4317208968,2024,4
W4317565738,2023,5
W4317565738,2024,12
W4317790698,2023,2
W4317790698,2024,11
W4317904349,2023,2
W4317904349,2024,2
W4318200376,2022,1
W4318200376,2023,7
W4318200376,2024,8
W4318219004,2023,2
W4318219004,2024,3
W4318340592,2023,4
W4318340592,2024,12
W4318475704,2023,9
W4318475704,2024,11
W4318481158,2023,8
W4318481158,2024,19
W4318483587,2023,12
W4318483587,2024,63
W4318595446,2023,9
W4318595446,2024,16
W4318979379,2023,1
W4318979379,2024,1
W4319302037,2023,2
W4319302037,2024,1
W4319304622,2023,1
W4319304622,2024,5
W4319338312,2023,1
W4319338312,2024,3
W4319733201,2023,1
W4319733201,2024,4
W4319791194,2023,6
W4319791194,2024,8
W4320035261,2023,8
W4320035261,2024,21
W4320490631,2023,4
W4320490631,2024,9
W4321108604,2023,39
W4321108604,2024,64
W4321238586,2023,2
W4321238586,2024,10
W4321249736,2023,7
W4321249736,2024,5
W4321352114,2023,17
W4321352114,2024,21
W4321496408,2023,3
W4321496408,2024,6
W4321497407,2023,18
W4321497407,2024,41
W4321617535,2023,6
W4321617535,2024,14
W4321617765,2023,4
W4321617765,2024,2
W4321617771,2023,3
W4321617771,2024,8
W4321618002,2023,5
W4321618002,2024,17
W4321769603,2023,12
W4321769603,2024,37
W4321789106,2023,3
W4321789106,2024,2
W4322217101,2023,4
W4322217101,2024,4
W4322493038,2023,12
W4322493038,2024,23
W4322493542,2023,1
W4322493542,2024,12
W4322733148,2023,10
W4322733148,2024,21
W4322739152,2023,20
W4322739152,2024,53
W4322769152,2023,4
W4322769152,2024,8
W4323038324,2023,1
W4323038324,2024,2
W4323319975,2024,1
W4323321928,2023,1
W4323321928,2024,3
W4323851652,2024,2
W4323854344,2023,1
W4323854344,2024,3
W4323923963,2024,5
W4323924132,2023,3
W4323924132,2024,4
W4323929228,2024,3
W4323980169,2023,7
W4323980169,2024,11
W4324089017,2023,2
W4324092563,2023,3
W4324092563,2024,4
W4324152529,2023,4
W4324152529,2024,3
W4324325927,2023,10
W4324325927,2024,26
W4324355347,2023,8
W4324355347,2024,20
W4324378992,2023,3
W4324378992,2024,10
W4327909672,2024,2
W4327909703,2023,31
W4327909703,2024,85
W4327941714,2023,3
W4327941714,2024,4
W4327947795,2023,21
