id,name,affiliation
A5113240952,D. Gui,"School of Automation, Nanjing University of Science and Technology, Nanjing, 210095, China"
A5013155341,D. Mohamad,"Department of Computer & Communication Systems Engineering, Faculty of Engineering, University Putra Malaysia (UPM), Serdang, Malaysia"
A5009900245,D. Shiny Irene,"Department of Computing Technologies, School of Computing, SRM Institute of Science and Technology, Kattankulathur Campus, Chennai, India"
A5081352717,Dacan Chen,"Department of Dermatology, The 2nd Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, 510120, China"
A5049963017,Daekook Kang,"Department of Industrial and Management Engineering, Institute of Digital Anti-aging Healthcare, Inje University, Gimhae-si, 50834, Gyeongsangnam-do, Republic of Korea"
A5100596940,Daiyuan Chen,"Zhejiang Lab, Hangzhou, China"
A5113250741,Daizhong Du,"Beijing University of Posts and Telecommunications, No 10. Xitucheng Road, Beijing, 100876, China"
A5074332958,Damei Luo,"School of Mathematics and Information Science, Guangxi University, Nanning, 530004, Guangxi, People’s Republic of China"
A5015497605,Damon Wing Kee Wong,"Singapore Eye Research Institute, Singapore National Eye Centre, Singapore, Singapore"
A5100688418,Dan Liu,"Key Laboratory of Advanced Manufacturing Technology, Ministry of Education, Guizhou University, Guiyang, 550025, Guizhou, China"
A5100456045,Dan Zhang,"Department of Pharmacy, Traditional Chinese and Western Medicine Hospital of Wuhan (Wuhan No.1 Hospital), Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430000, China"
A5002344438,Dangjian Li,"Petroleum Engineering School, Southwest Petroleum University, Chengdu, 610500, China"
A5001490863,Danial Jahed Armaghani,"Department of Urban Planning, Engineering Networks and Systems, Institute of Architecture and Construction, South Ural State University, 76, Lenin Prospect, Chelyabinsk, 454080, Russia"
A5044801385,Danial Yazdani,"School of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China"
A5066568365,Daniel Batrakhanov,"Computer Vision and Pattern Recognition Laboratory, LUT University, Yliopistonkatu 34, 53850, Lappeenranta, Finland"
A5109493868,Daniel Casado Fauli,"Research Group on Data Science for the Digital Society La Salle - Universitat Ramon Llull, Carrer de Sant Joan de La Salle, 42, 08022, Barcelona, Spain"
A5023427388,Daniel Dias‐da‐Costa,"School of Civil Engineering, The University of Sydney, Sydney, NSW, 2006, Australia"
A5018302442,Daniel Persson,"Department of Mathematical Sciences, Chalmers University of Technology & University of Gothenburg, 412 96, Gothenburg, Sweden"
A5084384774,Daniel Puiu Poenar,"School of Electrical and Electronic Engineering, Nanyang Technological University, 50 Nanyang Ave, 639798, Singapore, Singapore"
A5070363238,Daniel Schneider,"Tércio Pacitti Institute of Computer Applications and Research (NCE), Federal University of Rio de Janeiro, Rio de Janeiro, Brazil"
A5002539501,Daniela Barreiro Claro,"FORMAS Research Group, Federal University of Bahia (UFBA)–Institute of Computing (IC), Av. Milton Santos, s/n, Ondina, Salvador, Bahia, 40170-110, Brazil"
A5082596393,Daniele Meli,"Department of Computer Science, University of Verona, Verona, Italy"
A5037882098,Dario Krpan,"Department of Psychological and Behavioural Science, London School of Economics and Political Science, Houghton Street, London, WC2A 2AE, UK"
A5002263224,Darren Sutton,"School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"
A5072427305,David Alonso-Ríos,"Department of Computer Science and Information Technologies, Universidade da Coruña (CITIC), Campus de Elviña, 15071, A Coruña, Spain"
A5017444948,David Lusseau,"National Institute of Aquatic Resources, Technical University of Denmark, 2800, Kgs. Lyngby, Denmark"
A5050595171,David Sosa-Trejo,"Department of Electronic Technology, University of Malaga, Malaga, Spain"
A5103019983,David Wright,"Trilateral Research, London, UK"
A5100325058,David Zhang,"Chinese University of Hong Kong, Shenzhen, China"
A5000423090,Davide Calvaresi,"University of Applied Sciences of Western Switzerland (HES-SO Valais), Rue du Technopole 3, Sierre, 3960, Valais, Switzerland"
A5019031326,Davide Evangelista,"Department of Mathematics, University of Bologna, Piazza di Porta San Donato 1, Bologna, 40126, Italy"
A5008833108,Davide La Torre,"SKEMA Business School, Université Côte d'Azur, Sophia Antipolis, 60 Rue Fedor Dostoïevski, 06902, Valbonne, France"
A5062101109,Davut İzci,"Department of Electronics & Automation, Batman University, Batman, 72060, Turkey"
A5065910481,Dayong Ye,"School of Computer Science, University of Technology Sydney, Broadway, Sydney, NSW, 2007, Australia"
A5029049593,Debanjali Sarkar,"Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, India"
A5018755620,Debasish Mishra,"Pratt & Whitney Institute of Advanced Systems Engineering, University of Connecticut, Storrs, 06269, USA"
A5102616319,Debottama Das,"Department of Electrical and Computer Engineering, University of Arizona, Tucson, AZ, USA"
A5101474113,Dechao Li,"School of Information and Engineering, Zhejiang Ocean University, Zhoushan, 316000, China"
A5085233751,Dechen Wang,"School of Artificial Intelligence, Henan University, Zhengzhou, 450046, Henan, China"
A5111029464,Deeksha Gupta,"Mehr Chand Mahajan DAV College for Women, Panjab University, Chandigarh, India"
A5110109385,Deepak Kumar Jain,"Key Laboratory of Intelligent Control and Optimization for Industrial Equipment of Ministry of Education,, Dalian University of Technology, Dalian, 116024, China"
A5075293170,Deepak Suresh Asudani,"Department of Computer Science and Engineering, National Institute of Technology, Raipur, Chhattisgarh, India"
A5086147112,Deepali Vora,"Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, Maharashtra, India"
A5087419173,Deepika Garg,"School of Engineering and Sciences, GD Goenka University, Gurugram, India"
A5080114207,Deepika Sirohi,"Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, Punjab, India"
A5011861646,Deepmala Sharma,"Department of Mathematics, National Institute of Technology Raipur, Raipur, Chhattisgarh, India"
A5027585580,Deepti Prit Kaur,"Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, 140401, India"
A5047683921,Deepti Shakya,"Department of Computer Science and Engineering, Indian Institute of Technology Patna, Patna, India"
A5084270607,Defu Zhang,"School of Informatics, Xiamen University, Xiamen, 361005, China"
A5046957909,Deguang Kong,"Amazon, Sunnyvale, CA, USA"
A5045879529,Dehua Zhang,"School of Artificial Intelligence, Henan University, Zhengzhou, 450046, Henan, China"
A5079887660,Dejian Yu,"Business School, Nanjing Audit University, Nanjing, 211815, Jiangsu, China"
A5062378664,Dekera Kenneth Kwaghtyo,"Department of Computer Science, Faculty of Computing, Federal University Lafia, P.M.B 146, Lafia, Nigeria"
A5020620488,Delong Chen,"College of Computer and Information, Hohai University, Nanjing, China"
A5081084530,Dengguo Li,"Zhejiang University of Technology, Hangzhou, 310014, China"
A5081084530,Dengguo Li,"College of Civil Engineering, Zhejiang University of Technology, Hangzhou, 310014, Zhejiang Province, China"
A5063210265,Dengyu Wu,"University of Liverpool, Liverpool, UK"
A5055206397,Deniz Uztürk,"Business Administration Department, Business Research Center, Galatasaray University, Istanbul, Türkiye"
A5004057129,Derong Liu,"School of Computer Science, The University of Sydney, Sydney, Australia"
A5043508209,Devanand Padha,"Department of Computer Science and Information Technology, Central University of Jammu, Jammu, Jammu & Kashmir, 181124, India"
A5100698996,Deyu Li,"School of Computer and Information Technology, Key Laboratory of Computational Intelligence and Chinese Information Processing of Ministry of Education, Shanxi University, Taiyuan, 030006, Shanxi, China"
A5018977319,Dharani Kumar Talapula,"School of Computer Science, University of Petroleum & Energy Studies (UPES), Bidoli, Dehradun, 248007, India"
A5102007140,Dharmalingam Muthusamy,"Department of Computer Science, Bharathiar University Coimbatore, Coimbatore, Tamil Nadu, 641046, India"
A5077868480,Dheeraj Kumar,"Central University of Himachal Pradesh, Dharamshala, India"
A5014369213,Diana Levshun,"St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), St. Petersburg, 199178, Russia"
A5070406038,Dianpeng Lian,"Petroleum Engineering School, Southwest Petroleum University, Chengdu, 610500, China"
A5056251028,Diego Oliva,"Depto. de Ingeniería Electro-Fotónica, Universidad de Guadalajara, CUCEI, Guadalajara, 44430, Jalisco, Mexico"
A5005545405,Dietmar Jannach,"University of Klagenfurt, Klagenfurt am Wörthersee, Austria"
A5013150230,Dilbag Singh,"Center of Biomedical Imaging, Department of Radiology, New York University Grossman School of Medicine, New York, NY, 10016, USA"
A5013636671,Dilip Singh Sisodia,"Department of Computer Science & Engineering, National Institute of Technology Raipur, G E Road Raipur, Raipur, Chhattisgarh, 492010, India"
A5075818819,Dilwar Hussain Mazumder,"Department of Computer Science and Engineering, National Institute of Technology Nagaland, Chumukedima, Dimapur, Nagaland, 797103, India"
A5112903360,Dimitrios Vrakas,"School of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece"
A5103257376,Dimple Rani,"School of Mathematics, Thapar Institute of Engineering & Technology, Deemed University, Patiala, 147004, Punjab, India"
A5019556766,Dimple Tiwari,"Ambedkar Institute of Advanced Communication Technologies and Research (GGSIPU), Delhi, India"
A5112266348,Dinesh Sethi,"Department of Electronics and Communication Engineering, JECRC University, Jaipur, India"
A5024549341,Ding Wang,"Faculty of Information Technology, Beijing University of Technology, Beijing, 100124, China"
A5041887867,Dingding Chen,"College of Computer Science, Chongqing University, Chongqing, 400044, China"
A5008292958,Divya Gangwani,"Department of Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, 33431, USA"
A5031075659,Divya Meena Sundaram,"School of Computer Science and Engineering, VIT-AP University, Amaravathi, India"
A5053951395,Divyansh Thakur,"School of Computing, Indian Institute of Information Technology Una, Una, India"
A5037070255,Djaafar Zouache,"Department of Computer Science, University of Mohamed El Bachir El Ibrahimi, Bordj Bou Arreridj, Algeria"
A5084209353,Djamila Romaissa Beddiar,"Center for Machine Vision and Signal Analysis, University of Oulu, 90014, Oulu, Finland"
A5032097112,Doaa El-Shahat,"Faculty of Computers and Informatics, Zagazig University, Shaibet a Nakareyah, Zagazig, Ash Sharqia Governorate, 44519, Egypt"
A5029689278,Domagoj Jakobović,"Faculty of Electrical Engineering and Computing, University of Zagreb, Unska 3, 10000, Zagreb, Croatia"
A5057857099,Dominik Lewy,"Faculty of Mathematics and Information Science, Warsaw University of Technology, Koszykowa 75, 00-662, Warsaw, Poland"
A5019506655,Dong Liang,"Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China"
A5064941728,Dongran Song,"School of Automation, Central South University, Changsha, 410083, People's Republic of China"
A5057914321,Dongsheng Guo,"School of Information and Communication Engineering, Hainan University, Haikou, China"
A5031576307,Dongsheng Yang,"School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China"
A5091900293,Dongwan Lu,"Intelligent Information Systems Institute, Wenzhou University, Wenzhou, 325035, China"
A5100720909,Dong‐Eun Lee,"School of Architectural, Civil, Environmental and Energy Engineering, Kyungpook National University, 1370 Sangyegk-dong, Buk-gu, Daegu, 702-701, Korea"
A5018974025,Dragan Pamučar,"Department of Operations Research and Statistics, Faculty of Organizational Sciences, University of Belgrade, Belgrade, Serbia"
A5093045284,Dua’a Akhtom,"School of Computer Sciences, Universiti Sains Malaysia, 11800, George Town, Pulau Pinang, Malaysia"
A5100616362,Dun Liu,"School of Economics and Management, Southwest Jiaotong University, Chengdu, 610031, China"
A5082166723,E. A. Nismi Mol,"Division of Information Technology, School of Engineering, Cochin University of Science and Technology, Kochi, India"
A5082236429,Eduard Torres,"Logic & Optimization Group (LOG), University of Lleida, Lleida, Spain"
A5034818449,Eduardo Fidalgo,"Researcher at INCIBE (Spanish National Cybersecurity Institute), León, Spain"
A5001207425,Eduardo Mosqueira-Rey,"Department of Computer Science and Information Technologies, Universidade da Coruña (CITIC), Campus de Elviña, 15071, A Coruña, Spain"
A5032146560,Eduardo e Oliveira,"INEGI - Institute of Science and Innovation in Mechanical and Industrial Engineering, Porto, Portugal"
A5112321926,Efoevi Angelo Koudou,"IECL - Institut Élie Cartan de Lorraine (Université de Lorraine, Boulevard des Aiguillettes BP 70239 54506 Vandoeuvre-les-Nancy Cedex
Ile du Saulcy - 57 045 Metz Cedex 01 - France)"
A5070455585,Ela Kumar,"Indira Gandhi Delhi Technical University for Women, New Delhi, India"
A5029096221,Elaheh Homayounvala,"School of Computing and Digital Media, London Metropolitan University, London, UK"
A5107031597,Elaheh Sadat Salehi,"Department of Electrical and Computer Engineering, University of Shiraz, Shiraz, Iran"
A5025213028,Eleanna Dalagdi,"School of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece"
A5021138620,Elena Hernández-Pereira,"Department of Computer Science and Information Technologies, Universidade da Coruña (CITIC), Campus de Elviña, 15071, A Coruña, Spain"
A5002031480,Elena Navarro,"LoUISE Research Group, Computing Systems Department, University of Castilla-La Mancha, Avda. España s/n, 02071, Albacete, Spain"
A5060638607,Elena Pretel,"LoUISE Research Group, Computing Systems Department, University of Castilla-La Mancha, Avda. España s/n, 02071, Albacete, Spain"
A5045069369,Elfadil A. Mohamed,"Artificial Intelligence Research Center (AIRC), College of Engineering & Information Technology, Ajman University, Ajman, UAE"
A5072534068,Elham Shabaninia,"Department of Applied Mathematics, Faculty of Sciences and Modern Technologies, Graduate University of Advanced Technology, Kerman, Iran"
A5081877111,Elias G. Carayannis,"George Washington University, GWU School of Business, Washington, DC, 20052, USA"
A5013640755,Elif Varol Altay,"Department of Software Engineering, Manisa Celal Bayar University, Manisa, Turkey"
A5110752821,Elisabet Golobardes Ribé,"Research Group on Data Science for the Digital Society La Salle - Universitat Ramon Llull, Carrer de Sant Joan de La Salle, 42, 08022, Barcelona, Spain"
A5024607215,Elyes Lamine,CGI - Centre Génie Industriel (Campus Jarlard - 81013 Albi CT Cédex 09 - France)
A5038884691,Emadaldin Mohammadi Golafshani,"Department of Civil Engineering, Monash University, Australia, Melbourne, Australia"
A5073357070,Eman Ahmed,"Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt"
A5082912139,Eman M. El-Gendy,"Computers and Control Systems Department, Faculty of Engineering, Mansoura University, Mansoura, Egypt"
A5069389579,Eman M. G. Younis,"Faculty of Computers and Information, Minia University, Minia, Egypt"
A5038085732,Eman Saber,"Faculty of Computers and Information, Minia University, Minia, Egypt"
A5011429131,Emilio Cartoni,"Laboratory of Computational Embodied Neuroscience, Institute of Cognitive Sciences and Technologies, National Research Council of Italy, Rome, Italy"
A5031767757,Enas Elgeldawi,"Computer Science Department, Faculty of Science, Minia University, Minia, Egypt"
A5025326752,Enbin Liu,"Petroleum Engineering School, Southwest Petroleum University, Chengdu, 610500, China"
A5020546469,Enrique Alegre,"Department of Electrical, Systems and Automation, University of León, León, Spain"
A5076657750,Enrique Herrera‐Viedma,"Department of Computer Science and AI, Andalusian Research Institute in Data Science and Computational Intelligence, University of Granada, Granada, Spain"
A5076657750,Enrique Herrera‐Viedma,"Dept. of Computer Science and AI, Andalusian Research Institute in Data Science and Computational Intelligence, University of Granada, 18071, Granada, Spain"
A5049064037,Erdal Eker,"Vocational School of Social Sciences, Mus Alparslan University, Mus, Turkey"
A5078857583,Erdal Özbay,"Faculty of Engineering, Computer Engineering, Firat University, 23119, Elazig, Turkey"
A5057072317,Eren Baş,"Faculty of Arts and Science, Department of Statistics, Forecast Research Laboratory,  Giresun University, 28200, Giresun, Türkiye"
A5003847848,Erfan Babaee Tirkolaee,"Department of Industrial Engineering, Istinye University, Istanbul, Turkey"
A5039035475,Eric A. Stone,"Biological Data Science Institute, Australian National University, 46 Sullivans Creek Rd, Acton, ACT, 2601, Australia"
A5100752356,Erik Cambria,"Continental-NTU Corporate Lab, Nanyang Technological University, Singapore, Singapore"
A5100752356,Erik Cambria,"School of Computer Science and Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore"
A5100752356,Erik Cambria,"Nanyang Technological University, Singapore, Singapore"
A5100752356,Erik Cambria,"School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore"
A5100752356,Erik Cambria,"School of Computer Science and Engineering, Nanyang Technological University, Singapore
, Singapore"
A5070862414,Erik Elmroth,"Department of Computing Science, Umeå University, Umeå, Sweden"
A5000447912,Erol Eğrioğlu,"Faculty of Arts and Science, Department of Statistics, Forecast Research Laboratory,  Giresun University, 28200, Giresun, Türkiye"
A5037801696,Erol Kalkan,"Earthquake Science Center, United States Geological Survey, Menlo Park, CA, 94025, USA"
A5073637662,Esha Sadia Nasir,"School of Electrical Engineering & Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan"
A5052342684,Esra Korkmaz,"Department of Computer Programming, Düzce University, Düzce, Turkey"
A5056436780,Essam H. Houssein,"Faculty of Computers and Information, Minia University, Minia, Egypt"
A5011531387,Esther Luna Colombini,"Laboratory of Robotics and Cognitive Systems (LaRoCS), Institute of Computing, University of Campinas, Av. Albert Einstein, 1251, Campinas, SP, Brazil"
A5111256335,Eui-Jung An,"Department of Robot and Smart System Engineering, Kyungpook National University, 80 Daehak-ro, Buk-gu, Daegu, 41566, Korea"
A5029548136,Eulanda M. dos Santos,"Institute of Computing, Federal University of Amazonas, 6200, Gen. Rodrigo Octávio, Manaus, Amazonas, 69080-900, Brazil"
A5049303689,Eva Prašnikar,"Theory Department, Laboratory for Chemical Informatics, National Institute of Chemistry, Ljubljana, Slovenia"
A5039335917,Evelin Amorim,"LIAAD, INESC TEC, Rua Dr. Roberto Frias, Porto, 4200-465, Porto, Portugal"
A5034636034,Evgin Göçeri,"Biomedical Engineering Department, Faculty of Engineering, Akdeniz University, 07058, Antalya, Turkey"
A5034636034,Evgin Göçeri,"Department of Biomedical Engineering, Engineering Faculty, Akdeniz University, Antalya, Turkey"
A5006193331,Ewan Sellers,"Mineral Resources, CSIRO, Pullenvale, QLD, Australia"
A5040807448,Eyad Elyan,"School of Computing, Robert Gordon University, Garthdee Road, Aberdeen, AB10 7QB, Scotland, UK"
A5104154875,Ezgi Aktas,"Department of Computer Engineering, Faculty of Engineering and Architecture, Istanbul Nisantasi University, Istanbul, Turkey"
A5056940144,Ezgi Türkarslan,"Faculty of Science, Department of Mathematics, Ankara University, 06100, Ankara, Turkey"
A5113964067,F. M. Jumaah,"Department of Advanced Applications and Embedded Systems, Intel Corporation, Plot 6, Bayan Lepas Technoplex, 11900, Pulau Pinang, Malaysia"
A5085581846,Fa Zhu,"College of Information Science and Technology, Nanjing Forestry University, Nanjing, China"
A5016405223,Fabian Manoel,"Federal Center for Technological Education Celso Suckow da Fonseca, Rio de Janeiro, Brazil"
A5019331202,Fabio Merizzi,"Department of Informatics: Science and Engineering (DISI), University of Bologna, Mura Anteo Zamboni 7, Bologna, 40126, Italy"
A5067244774,Fabio Poiesi,"Fondazione Bruno Kessler, Trento, Italy"
A5064705419,Fachao Li,"School of Economics and Management, Hebei University of Science and Technology, Shijiazhuang, China"
A5047108921,Fadi Alkhatib,"Department of Mechanical Engineering, College of Engineering, Australian University-Kuwait, Mishref, Safat, 13015, Kuwait"
A5081042741,Fadi Dornaika,Ikerbasque - Basque Foundation for Science (Spain)
A5103216766,Fadi Dornaika,"Ho Chi Minh City Open University, 97 Vo Van Tan, Ward Vo Thi Sau, District 3, Ho Chi Minh City, 70000, Vietnam"
A5064147835,Faezeh Safari,"Department of Computer Engineering and Information Technology, Razi University, Kermanshah, Iran"
A5070937376,Fahad I. Syed,"Department of Chemical and Petroleum Engineering, University of Kansas, Lawrence, KS, 66045, USA"
A5033921097,Fahad Shamshad,"Information Technology University, Lahore, Pakistan"
A5079680116,Fahimeh Hosseinnia Shavaki,"Department of Industrial Engineering, College of Engineering, University of Tehran, Tehran, Iran"
A5079680116,Fahimeh Hosseinnia Shavaki,"School of Computer Science, University of Technology Sydney, Ultimo, Australia"
A5100373563,Fan Li,"Peking University First Hospital, Peking University, Beijing, China"
A5100371024,Fan Liu,"College of Computer and Information, Hohai University, Nanjing, China"
A5100740354,Fan Min,"School of Computer Science, Southwest Petroleum University, Xindu Road, Chengdu, 610500, Sichuan, China"
A5100740354,Fan Min,"School of Sciences, Southwest Petroleum University, Chengdu, 610500, China"
A5031758606,Fan Ouyang,"College of Education, Zhejiang University, Hangzhou, 310058, Zhejiang, China"
A5054337797,Fan Zhao,"Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China"
A5100453066,Fang Liu,"School of Software, Tiangong University, Tianjin, 300387, China"
A5075257227,Fang Zhou,"Department of Economic and Management, Suzhou Vocational Institute of Industrial Technology, Graduate Institute of Business and Management, Chang Gung University, No.1, Zhineng Avenue, Suzhou City, 215104, China"
A5040568268,Fangjun Kuang,"School of Surveying and Geospatial Engineering, College of Engineering, University of Tehran, Tehran, Iran"
A5067858777,Fanhua Shang,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, School of Artificial Intelligence, Xidian University, Xi’an, China"
A5007947570,Fanrong Meng,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China"
A5100608830,Fanrong Meng,"School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, 221116, Jiangsu, China"
A5010472148,Faqian Guan,"School of Computer Science, China University of Geosciences, No. 388 Lumo Road, Wuhan, 430074, Hubei, People’s Republic of China"
A5042700750,Fares Bougourzi,ISASI - Istituto di Scienze Applicate e Sistemi Intelligenti “Eduardo Caianiello” (Italy)
A5031691031,Farhad Pourpanah,"College of Mathematics and Statistics, Shenzhen University, Shenzhen, China"
A5009120208,Farhad Soleimanian Gharehchopogh,"Department of Computer Engineering, Urmia Branch, Islamic Azad University, Urmia, Iran"
A5039061991,Faris Azhari,"Mineral Resources, CSIRO, Pullenvale, QLD, Australia"
A5028787159,Farman Ali,"Department of Software, Sejong University, Seoul, South Korea"
A5060458014,Farrukh Pervez,"National University of Science and Technology, Islamabad, Pakistan"
A5070082622,Faruk Karaaslan,"Department of Mathematics, Faculty of Science, Çankırı Karatekin University, 18100, Çankırı, Turkey"
A5003861036,Fatemeh Daneshfar,"Department of Computer Engineering, University of Kurdistan, Sanandaj, Iran"
A5054801103,Fatemeh Mohammadi Shakiba,"Helen and John C. Hartmann Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Dr Martin Luther King Jr Blvd, Newark, NJ, 07102, USA"
A5057757489,Fatemeh Shafizadegan,"Department of Artificial Intelligence, Faculty of Computer Engineering, University of Isfahan, Isfahan, Iran"
A5090363651,Fatemeh Vafaee,"UNSW Data Science Hub, University of New South Wales (UNSW), Sydney, Australia"
A5090363651,Fatemeh Vafaee,"School of Biotechnology and Biomolecular Sciences, University of New South Wales (UNSW Sydney), Sydney, Australia"
A5089028976,Fatih Ecer,"Sub-Department of Operations Research, Faculty of Economics and Administrative Sciences, Afyon Kocatepe University, Afyonkarahisar, Turkey"
A5056731648,Fatih Karamaz,"Department of Mathematics, Faculty of Science, Çankırı Karatekin University, 18100, Çankırı, Turkey"
A5037222998,Fatma M. Talaat,"Faculty of Artificial Intelligence, Kafrelsheikh University, Kafrelsheikh, 33516, Egypt"
A5037222998,Fatma M. Talaat,"Faculty of Artificial Intelligence, Kafrelsheikh University, Kafrelsheikh, Egypt"
A5001227032,Fausto Giunchiglia,"Department of Information Engineering and Computer Science, University of Trento, via Sommarive, 5, Trento, 38123, Italy"
A5041045029,Fayçal Bensaali,"Department of Electrical Engineering, Qatar University, Doha, Qatar"
A5034744347,Fazal Ahmed Talukdar,"Department of Electronics and Communication Engineering, National Institute of Technology Silchar, Silchar, India"
A5000102178,Fazal Ghani,"Department of Mathematics, Abdul Wali Khan University Mardan, Mardan, KP, Pakistan"
A5086385685,Fazlı Can,"Bilkent Information Retrieval Group, Computer Engineering Department, Bilkent University, Ankara, Turkey"
A5101783051,Fei Liu,"College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, 310058, China"
A5052227146,Fei Teng,"School of Management Science and Engineering, Shandong University of Finance and Economics, Jinan, 250014, Shandong, China"
A5100455788,Fei Wang,"College of Computer and Information, Hohai University, Nanjing, China"
A5100365435,Fei Yang,"Zhejiang Lab, Hangzhou, China"
A5048499914,Fei Zheng,"Innovation Department of Industrial Internet, China Telecom Ningbo Branch, Ningbo, China"
A5003222421,Feiping Nie,"Northwestern Polytechnical University, Xian,  Shaanxi, China"
A5113600509,Fei‐Yue Wang,"School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China"
A5051451361,Feng Qiu,"School of Information and Communication Engineering, Hainan University, Haikou, China"
A5082766103,Feng Xia,"School of Computing Technologies, RMIT University, Melbourne, VIC, 3000, Australia"
A5089615958,Feng Xia,"School of Computing Technologies, RMIT University, Melbourne, 3000, Australia"
A5089615958,Feng Xia,
A5089615958,Feng Xia,"School of Computing Technologies, RMIT University, Melbourne, VIC 3000, Australia"
A5089615958,Feng Xia,"School of Computing Technologies, RMIT University, Melbourne, 3000, VIC, Australia"
A5017678625,Feng Xu,"College of Computer and Information, Hohai University, Nanjing, China"
A5063285882,Feng Zheng,"Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, 518055, China"
A5100632772,Fenglin Liu,"School of Physics and Mechanical and Electrical Engineering, Longyan University, Longyan, People’s Republic of China"
A5077515483,Fengshou Gu,"School of Computing and Engineering, University of Huddersfield, Huddersfield, HD1 3DH, UK"
A5069260620,Fengwei Tian,"Chongqing Traditional Chinese Medicine Hospital, Chongqing, China"
A5014782727,Ferdaous Idlahcen,"Faculty of Medical Sciences, Mohammed VI Polytechnic University (FMS-UM6P), Ben Guerir, Marrakech-Safi, Morocco"
A5044259885,Ferhat Özgür Çatak,"The Faculty of Science and Technology, Department of Electrical Engineering and Computer Science, University of Stavanger, Kjell Arholms gate 41, 4021, Stavanger, Norway"
A5112197817,Fernando Buarque,"Escola Politécnica de Pernambuco, Universidade de Pernambuco, Recife, Brasil"
A5065674426,Fernando E. B. Otero,"School of Computing, University of Kent, Kent, UK"
A5040973120,Flavio Di Martino,"Institute for Informatics and Telematics (IIT), National Research Council of Italy (CNR), Via Moruzzi 1, Pisa, 56100, Italy"
A5044867921,Flavius Frăsincar,"Erasmus School of Economics, Erasmus University Rotterdam, Burgemeester Oudlaan 50, 3062 PA, Rotterdam, The Netherlands"
A5086614609,Fodil Fadli,"Department of Architecture & Urban Planning, Qatar University, Doha, Qatar"
A5069487101,Fouzia Jabeen,"Department Computer Science, Shaheed Benazir Bhutto Women University, Peshawar, Pakistan"
A5069487101,Fouzia Jabeen,"Department of Computer Science, Shaheed Benazir Bhutto Women University, Peshawar, Pakistan"
A5098665142,Fozia Aslam,"Faculty of Information Technology and Computer Science, University of Central Punjab, 54000, Lahore, Pakistan"
A5048866658,Franca Delmastro,"Institute for Informatics and Telematics (IIT), National Research Council of Italy (CNR), Via Moruzzi 1, Pisa, 56100, Italy"
A5007869905,Francesco Amenta,"Clinical Research, Telemedicine and Telepharmacy Centre, School of Medicinal and Health Products Sciences, University of Camerino, 62032, Camerino, Italy"
A5066447873,Francesco Osborne,"Knowledge Media Institute, The Open University, Milton Keynes, MK7 6AA, UK"
A5051575292,Francis Faux,INUC - Institut national universitaire Champollion [Albi] (Place de Verdun - 81012 Albi cedex 09  - France)
A5080271860,Francisco Cedrón,"CITIC, Research Center of Information and Communication Technologies, Universidade da Coruña, 15071, A Coruña, Spain"
A5001443974,Francisco Chiclana,"Department of Computer Science and AI, Andalusian Research Institute in Data Science and Computational Intelligence, University of Granada, Granada, Spain"
A5084635828,Francisco Cruz,"School of Computer Science and Engineering, University of New South Wales, Sydney, Australia"
A5056204391,Francisco Jáñez-Martino,"Department of Electrical, Systems and Automation, University of León, León, Spain"
A5053773659,Frederico Gadelha Guimarães,"Machine Intelligence and Data Science (MINDS) Laboratory, Federal University of Minas Gerais, Belo Horizonte, Brazil"
A5079115181,Fredrik Ohlsson,"Department of Mathematics and Mathematical Statistics, Umeå University, 901 87, Umeå, Sweden"
A5072482402,Fu Lee Wang,"School of Science and Technology, Hong Kong Metropolitan University, Hong Kong, China"
A5083782170,Fu-Jun Guo,"School of Electronic and Information Engineering, University of Science & Technology Liaoning, Anshan, 114044, China"
